Driver 1,Driver 2,Races,1st,2nd,3rd,4th,Points,Avg
Bowser Jr.,Koopa,166,31,43,52,40,397,2.3916
Diddy Kong,Toadette,145,63,45,19,18,443,3.0552
Diddy Kong,Paratroopa,130,33,32,38,27,331,2.5462
Diddy Kong,Koopa,124,40,31,30,23,336,2.7097
Bowser Jr.,Paratroopa,95,11,22,37,25,209,2.2
Baby Mario,Toadette,90,31,20,18,21,241,2.6778
Baby Luigi,Toad,85,20,20,25,20,210,2.4706
Toad,Waluigi,80,19,23,16,22,199,2.4875
Bowser Jr.,Toadette,76,27,18,20,11,213,2.8026
Koopa,Toad,75,22,26,14,13,207,2.76
Bowser Jr.,Toad,65,17,16,16,16,164,2.5231
Baby Mario,Paratroopa,58,5,17,22,14,129,2.2241
Paratroopa,Toadette,56,18,16,14,8,156,2.7857
Baby Mario,Toad,55,19,18,12,6,160,2.9091
Baby Luigi,Toadette,50,19,11,10,10,139,2.78
