Course,Races,1st,2nd,3rd,4th,5th,6th,7th,8th,Points
Rainbow Road,66,30,14,8,5,6,1,1,1,501
Waluigi Stadium,66,32,21,9,2,1,0,0,1,553
Baby Park,66,31,24,6,3,2,0,0,0,556
Mario Circuit,66,31,24,9,1,1,0,0,0,563
Sherbet Land,66,30,28,6,1,1,0,0,0,567
Dry Dry Desert,66,33,28,0,2,1,1,1,0,568
DK Mountain,66,33,25,6,1,0,1,0,0,572
Luigi Circuit,66,33,27,2,4,0,0,0,0,574
Wario Colosseum,66,32,29,3,2,0,0,0,0,578
Peach Beach,66,33,27,5,1,0,0,0,0,580
Dino Dino Jungle,66,33,30,1,0,2,0,0,0,582
Bowser Castle,66,32,30,4,0,0,0,0,0,584
Mushroom Bridge,66,32,31,3,0,0,0,0,0,586
Yoshi Circuit,66,33,31,1,0,1,0,0,0,587
Mushroom City,66,33,30,3,0,0,0,0,0,588
Daisy Cruiser,66,33,32,0,1,0,0,0,0,590
